day,classroom,slot,start_time,end_time,course_full,course_abbrev,course_code,level,lecturer,is_practical,class_size,room_size,StudentGroup
Monday,LH 1,1,07:00,08:00,GL 100 159 (P),GL,159,100,ANOHAH,TRUE,30,70,CS100
Monday,LH 4,1,07:00,08:00,CY 200 477,CY,477,200,BOATENG,FALSE,40,90,CS200
Monday,LH 5,2,08:00,09:00,MA 300 101,MA,101,300,OWUSU,FALSE,50,110,EE100
Monday,LH 8,2,08:00,09:00,PH 400 202 (P),PH,202,400,NYAME,TRUE,60,130,ME100
Monday,LH 9,3,09:00,10:00,CS 100 305,CS,305,100,ADU,FALSE,70,110,BIO100
Monday,LH 12,3,09:00,10:00,EE 200 402,EE,402,200,MENSAH,FALSE,30,80,CH200
Monday,LH 13,4,10:00,11:00,ME 300 110 (P),ME,110,300,QUARTEY,TRUE,40,100,CE300
Monday,LH 1,4,10:00,11:00,FS 400 230,FS,230,400,AKUFFO,FALSE,50,120,IS200
Monday,LH 2,5,11:00,12:00,BI 100 144,BI,144,100,BANDY,FALSE,60,100,BA100
Monday,LH 5,5,11:00,12:00,CH 200 250 (P),CH,250,200,KWAKU,TRUE,70,120,AC200
Monday,LH 6,6,12:00,13:00,EC 300 323,EC,323,300,AMOAKO,FALSE,30,90,HR300
Monday,LH 9,6,12:00,13:00,IS 400 165,IS,165,400,ODEI,FALSE,40,110,CS100
Tuesday,LH 10,1,07:00,08:00,ST 100 180 (P),ST,180,100,KOBENA,TRUE,50,90,CS200
Tuesday,LH 13,1,07:00,08:00,EN 200 197,EN,197,200,APPIAH,FALSE,60,110,EE100
Tuesday,LH 14,2,08:00,09:00,AR 300 215,AR,215,300,ASARE,FALSE,70,130,ME100
Tuesday,LH 2,2,08:00,09:00,BU 400 218 (P),BU,218,400,SANTOS,TRUE,30,100,BIO100
Tuesday,LH 3,3,09:00,10:00,HR 100 149,HR,149,100,FREMA,FALSE,40,80,CH200
Tuesday,LH 6,3,09:00,10:00,AC 200 175,AC,175,200,EBO,FALSE,50,100,CE300
Tuesday,LH 7,4,10:00,11:00,MG 300 190 (P),MG,190,300,YAW,TRUE,60,120,IS200
Tuesday,LH 10,4,10:00,11:00,NS 400 199,NS,199,400,AMA,FALSE,70,140,BA100
Tuesday,LH 11,5,11:00,12:00,GL 100 159,GL,159,100,ANOHAH,FALSE,30,70,AC200
Tuesday,LH 14,5,11:00,12:00,CY 200 477 (P),CY,477,200,BOATENG,TRUE,40,90,HR300
Tuesday,LH 15,6,12:00,13:00,MA 300 101,MA,101,300,OWUSU,FALSE,50,110,CS100
Tuesday,LH 3,6,12:00,13:00,PH 400 202,PH,202,400,NYAME,FALSE,60,130,CS200
Wednesday,LH 4,1,07:00,08:00,CS 100 305 (P),CS,305,100,ADU,TRUE,70,110,EE100
Wednesday,LH 7,1,07:00,08:00,EE 200 402,EE,402,200,MENSAH,FALSE,30,80,ME100
Wednesday,LH 8,2,08:00,09:00,ME 300 110,ME,110,300,QUARTEY,FALSE,40,100,BIO100
Wednesday,LH 11,2,08:00,09:00,FS 400 230 (P),FS,230,400,AKUFFO,TRUE,50,120,CH200
Wednesday,LH 12,3,09:00,10:00,BI 100 144,BI,144,100,BANDY,FALSE,60,100,CE300
Wednesday,LH 15,3,09:00,10:00,CH 200 250,CH,250,200,KWAKU,FALSE,70,120,IS200
Wednesday,LH 1,4,10:00,11:00,EC 300 323 (P),EC,323,300,AMOAKO,TRUE,30,90,BA100
Wednesday,LH 4,4,10:00,11:00,IS 400 165,IS,165,400,ODEI,FALSE,40,110,AC200
Wednesday,LH 5,5,11:00,12:00,ST 100 180,ST,180,100,KOBENA,FALSE,50,90,HR300
Wednesday,LH 8,5,11:00,12:00,EN 200 197 (P),EN,197,200,APPIAH,TRUE,60,110,CS100
Wednesday,LH 9,6,12:00,13:00,AR 300 215,AR,215,300,ASARE,FALSE,70,130,CS200
Wednesday,LH 12,6,12:00,13:00,BU 400 218,BU,218,400,SANTOS,FALSE,30,100,EE100
Thursday,LH 13,1,07:00,08:00,HR 100 149 (P),HR,149,100,FREMA,TRUE,40,80,ME100
Thursday,LH 1,1,07:00,08:00,AC 200 175,AC,175,200,EBO,FALSE,50,100,BIO100
Thursday,LH 2,2,08:00,09:00,MG 300 190,MG,190,300,YAW,FALSE,60,120,CH200
Thursday,LH 5,2,08:00,09:00,NS 400 199 (P),NS,199,400,AMA,TRUE,70,140,CE300
Thursday,LH 6,3,09:00,10:00,GL 100 159,GL,159,100,ANOHAH,FALSE,30,70,IS200
Thursday,LH 9,3,09:00,10:00,CY 200 477,CY,477,200,BOATENG,FALSE,40,90,BA100
Thursday,LH 10,4,10:00,11:00,MA 300 101 (P),MA,101,300,OWUSU,TRUE,50,110,AC200
Thursday,LH 13,4,10:00,11:00,PH 400 202,PH,202,400,NYAME,FALSE,60,130,HR300
Thursday,LH 14,5,11:00,12:00,CS 100 305,CS,305,100,ADU,FALSE,70,110,CS100
Thursday,LH 2,5,11:00,12:00,EE 200 402 (P),EE,402,200,MENSAH,TRUE,30,80,CS200
Thursday,LH 3,6,12:00,13:00,ME 300 110,ME,110,300,QUARTEY,FALSE,40,100,EE100
Thursday,LH 6,6,12:00,13:00,FS 400 230,FS,230,400,AKUFFO,FALSE,50,120,ME100
Friday,LH 7,1,07:00,08:00,BI 100 144 (P),BI,144,100,BANDY,TRUE,60,100,BIO100
Friday,LH 10,1,07:00,08:00,CH 200 250,CH,250,200,KWAKU,FALSE,70,120,CH200
Friday,LH 11,2,08:00,09:00,EC 300 323,EC,323,300,AMOAKO,FALSE,30,90,CE300
Friday,LH 14,2,08:00,09:00,IS 400 165 (P),IS,165,400,ODEI,TRUE,40,110,IS200
Friday,LH 15,3,09:00,10:00,ST 100 180,ST,180,100,KOBENA,FALSE,50,90,BA100
Friday,LH 3,3,09:00,10:00,EN 200 197,EN,197,200,APPIAH,FALSE,60,110,AC200
Friday,LH 4,4,10:00,11:00,AR 300 215 (P),AR,215,300,ASARE,TRUE,70,130,HR300
Friday,LH 7,4,10:00,11:00,BU 400 218,BU,218,400,SANTOS,FALSE,30,100,CS100
Friday,LH 8,5,11:00,12:00,HR 100 149,HR,149,100,FREMA,FALSE,40,80,CS200
Friday,LH 11,5,11:00,12:00,AC 200 175 (P),AC,175,200,EBO,TRUE,50,100,EE100
Friday,LH 12,6,12:00,13:00,MG 300 190,MG,190,300,YAW,FALSE,60,120,ME100
Friday,LH 15,6,12:00,13:00,NS 400 199,NS,199,400,AMA,FALSE,70,140,BIO100
